@relation 'features-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5'

@attribute x numeric
@attribute y numeric
@attribute d numeric
@attribute ang numeric
@attribute class numeric

@data
1,17,15,90,2
1,32,1,90,2
1,33,66,90,2
1,99,1,90,2
1,100,72,-89,2
2,28,5,90,2
2,33,7,90,2
2,40,59,90,2
2,99,28,90,2
2,127,1,90,2
2,128,125,-89,2
3,3,2,90,2
3,5,14,90,2
3,19,1,90,2
3,20,20,90,2
3,40,1,90,2
3,41,86,90,2
3,127,6,90,2
3,133,7,90,2
3,140,136,-89,2
4,4,1,90,2
4,5,1,90,2
4,6,13,90,2
4,19,14,90,2
4,33,93,90,2
4,126,121,-89,2
5,5,25,90,2
5,30,3,90,2
5,33,1,90,2
5,34,91,90,2
5,125,1,90,2
5,126,97,-89,2
6,29,1,90,2
6,30,1,90,2
6,31,53,90,2
6,84,3,90,2
6,87,32,90,2
6,119,1,90,2
6,120,7,90,2
6,127,1,90,2
6,128,8,90,2
6,136,133,-89,2
7,3,1,90,2
7,4,24,90,2
7,28,2,90,2
7,30,53,90,2
7,83,1,90,2
7,84,36,90,2
7,120,7,90,2
7,127,2,90,2
7,129,126,-89,2
8,3,24,90,2
8,27,2,90,2
8,29,26,90,2
8,55,2,90,2
8,57,11,90,2
8,68,4,90,2
8,72,1,90,2
8,73,1,90,2
8,74,54,90,2
8,128,1,90,2
8,129,73,-89,2
9,56,11,90,2
9,67,1,90,2
9,68,4,90,2
9,72,2,90,2
9,74,56,90,2
9,130,84,-89,2
10,46,86,90,2
10,132,93,-88,2
12,39,57,90,2
12,96,1,90,2
12,97,1,0,2
13,97,26,90,2
13,123,94,-89,2
14,29,2,90,2
14,31,27,90,2
14,58,1,90,2
14,59,24,90,2
14,83,6,90,2
14,89,33,90,2
14,122,1,90,2
14,123,10,90,2
14,133,10,90,2
14,143,137,-89,2
15,6,22,90,2
15,28,30,90,2
15,58,2,90,2
15,60,10,90,2
15,70,1,90,2
15,71,6,90,2
15,77,1,90,2
15,78,5,90,2
15,83,1,90,2
15,84,39,90,2
15,123,10,90,2
15,133,1,90,2
15,134,8,90,2
15,142,2,90,2
15,144,98,-89,2
16,46,12,90,2
16,58,1,90,2
16,59,5,90,2
16,64,1,90,2
